attribute_name,description,sample_values,sensitivity_label
emp_ethnicity,employee racial or ethnic background,ASIAN||AFRICAN_AMERICAN||HISPANIC||CAUCASIAN||PACIFIC_ISLANDER,sensitive_pii
health_info,employee health records and conditions,HEALTH_REC_001||HEALTH_REC_002||HEALTH_REC_003||HEALTH_REC_004||HEALTH_REC_005,sensitive_pii
jp_my_number,japan specific identification number,MN12345678901||MN23456789012||MN34567890123||MN45678901234||MN56789012345,sensitive_pii
union_member,trade union membership status,UNION_MEM_001||UNION_MEM_002||UNION_MEM_003||UNION_MEM_004||UNION_MEM_005,sensitive_pii
login_cred,system login credentials,HASH_PWD_001||HASH_PWD_002||HASH_PWD_003||HASH_PWD_004||HASH_PWD_005,sensitive_pii
performance_data,confidential employee performance records,PERF_2024_Q1||PERF_2024_Q2||PERF_2024_Q3||PERF_2024_Q4||PERF_ANNUAL,confidential
comp_structure,compensation and bonus framework,COMP_STRUCT_1||COMP_STRUCT_2||COMP_STRUCT_3||COMP_STRUCT_4||COMP_STRUCT_5,confidential
succession_plan,internal succession planning details,SUCC_PLAN_1||SUCC_PLAN_2||SUCC_PLAN_3||SUCC_PLAN_4||SUCC_PLAN_5,confidential
interview_notes,candidate interview feedback,INT_NOTE_001||INT_NOTE_002||INT_NOTE_003||INT_NOTE_004||INT_NOTE_005,confidential
hr_strategy,human resources strategic plans,HR_STRAT_2024_1||HR_STRAT_2024_2||HR_STRAT_2024_3||HR_STRAT_2024_4||HR_STRAT_2024_5,confidential
first_name,employee first name,John||Mary||Robert||David||Sarah,non_sensitive_pii
last_name,employee last name,Smith||Johnson||Williams||Brown||Davis,non_sensitive_pii
work_email,corporate email address,j.smith@company.com||m.johnson@company.com||r.williams@company.com||d.brown@company.com,non_sensitive_pii
emp_id,employee identification number,EMP001||EMP002||EMP003||EMP004||EMP005,non_sensitive_pii
dept_code,department code identifier,HR01||FIN02||IT03||OPS04||LEGAL05,non_sensitive_pii
workday_license,workday hcm platform license,WD_LIC_001||WD_LIC_002||WD_LIC_003||WD_LIC_004||WD_LIC_005,licensed_data
linkedin_corp,linkedin corporate recruiter license,LI_CORP_001||LI_CORP_002||LI_CORP_003||LI_CORP_004||LI_CORP_005,licensed_data
glassdoor_pro,glassdoor employer platform license,GD_PRO_001||GD_PRO_002||GD_PRO_003||GD_PRO_004||GD_PRO_005,licensed_data
adp_service,adp payroll service license,ADP_001||ADP_002||ADP_003||ADP_004||ADP_005,licensed_data
cornerstone_lms,learning management system license,LMS_001||LMS_002||LMS_003||LMS_004||LMS_005,licensed_data
attribute_name,description,sample_values,sensitivity_label
trader_ssn,trader social security number,123-45-6789||234-56-7890||345-67-8901||456-78-9012||567-89-0123,sensitive_pii
kr_trader_rrn,korean resident registration number,RRN123456789||RRN234567890||RRN345678901||RRN456789012||RRN567890123,sensitive_pii
desk_location,precise trading desk geolocation,35.6762_139.6503||40.7128_74.0060||51.5074_0.1278||1.3521_103.8198||22.3193_114.1694,sensitive_pii
trading_creds,trading system credentials,TRADE_AUTH_001||TRADE_AUTH_002||TRADE_AUTH_003||TRADE_AUTH_004||TRADE_AUTH_005,sensitive_pii
biometric_auth,biometric authentication data,BIO_HASH_001||BIO_HASH_002||BIO_HASH_003||BIO_HASH_004||BIO_HASH_005,sensitive_pii
prop_strategy,proprietary trading algorithms,ALGO_VWAP_1||ALGO_TWAP_2||ALGO_DARK_3||ALGO_SMART_4||ALGO_HEDGE_5,confidential
client_orders,client order information,ORDER_001_BUY||ORDER_002_SELL||ORDER_003_SHORT||ORDER_004_HEDGE||ORDER_005_SWAP,confidential
trading_book,internal trading book positions,POS_EQUITY_1||POS_FIXED_2||POS_DERIV_3||POS_FX_4||POS_COMMODITY_5,confidential
risk_limits,trading risk limit framework,LIMIT_001||LIMIT_002||LIMIT_003||LIMIT_004||LIMIT_005,confidential
profit_loss,desk profit and loss details,PNL_DESK_1||PNL_DESK_2||PNL_DESK_3||PNL_DESK_4||PNL_DESK_5,confidential
trader_id,trader identifier code,TDR001||TDR002||TDR003||TDR004||TDR005,non_sensitive_pii
desk_name,trading desk identifier,EQUITY_CASH||FX_SPOT||RATES_FLOW||CREDIT_FLOW||STRUCT_PROD,non_sensitive_pii
trade_date,trade execution date,2024-03-01||2024-03-02||2024-03-02||2024-03-04||2024-03-05,non_sensitive_pii
book_code,trading book identifier,BOOK001||BOOK002||BOOK003||BOOK004||BOOK005,non_sensitive_pii
product_type,trading product category,EQUITY||BONDS||FX||FUTURES||OPTIONS,non_sensitive_pii
bloomberg_data,bloomberg terminal license,BBG_001||BBG_002||BBG_003||BBG_004||BBG_005,licensed_data
refinitiv_eikon,refinitiv terminal license,EIK_001||EIK_002||EIK_003||EIK_004||EIK_005,licensed_data
factset_feed,factset market data license,FST_001||FST_002||FST_003||FST_004||FST_005,licensed_data
ice_data,exchange data feed license,ICE_001||ICE_002||ICE_003||ICE_004||ICE_005,licensed_data
markit_data,pricing data service license,MKT_001||MKT_002||MKT_003||MKT_004||MKT_005,licensed_data
attribute_name,description,sample_values,sensitivity_label
investigate_subj,investigation subject details,INV_SUBJ_001||INV_SUBJ_002||INV_SUBJ_003||INV_SUBJ_004||INV_SUBJ_005,sensitive_pii
criminal_record,employee criminal history,CRIM_REC_001||CRIM_REC_002||CRIM_REC_003||CRIM_REC_004||CRIM_REC_005,sensitive_pii
med_disclosure,medical information disclosure,MED_DISC_001||MED_DISC_002||MED_DISC_003||MED_DISC_004||MED_DISC_005,sensitive_pii
auth_password,compliance system credentials,AUTH_HASH_001||AUTH_HASH_002||AUTH_HASH_003||AUTH_HASH_004||AUTH_HASH_005,sensitive_pii
report_content,investigation email contents,EMAIL_INV_001||EMAIL_INV_002||EMAIL_INV_003||EMAIL_INV_004||EMAIL_INV_005,sensitive_pii
kyc_details,client kyc documentation,KYC_DOC_001||KYC_DOC_002||KYC_DOC_003||KYC_DOC_004||KYC_DOC_005,confidential
breach_report,internal breach findings,BREACH_001||BREACH_002||BREACH_003||BREACH_004||BREACH_005,confidential
surveillance_data,trading surveillance findings,SURV_001||SURV_002||SURV_003||SURV_004||SURV_005,confidential
audit_findings,internal audit results,AUDIT_001||AUDIT_002||AUDIT_003||AUDIT_004||AUDIT_005,confidential
policy_draft,unpublished policy documents,POL_DRAFT_1||POL_DRAFT_2||POL_DRAFT_3||POL_DRAFT_4||POL_DRAFT_5,confidential
case_number,compliance case identifier,CASE001||CASE002||CASE003||CASE004||CASE005,non_sensitive_pii
reviewer_id,compliance reviewer code,REV001||REV002||REV003||REV004||REV005,non_sensitive_pii
review_date,review completion date,2024-03-01||2024-03-02||2024-03-03||2024-03-04||2024-03-05,non_sensitive_pii
status_code,case status identifier,OPEN||IN_PROGRESS||PENDING||CLOSED||ESCALATED,non_sensitive_pii
