attribute_name,description,sample_values,label
trader_id,Unique identifier for trader in system,TR789023||TR789024||TR789025||TR789026||TR789027,Non-Sensitive PII
trading_strategy,Proprietary trading algorithms and methods,ALGO_HFT_V2||SWING_TRADE_2024||MOMENTUM_V3||ML_PREDICT_1||ARBIT_STRAT_4,Confidential Information
client_ssn,Social security number of client,783-45-8927||674-90-2341||892-34-7812||456-78-9023||567-89-2345,Sensitive PII
market_data_feed,Licensed real-time market data source,BLOOMBERG||REFINITIV||S&P_GLOBAL||FACTSET||MORNINGSTAR,Licensed Data
trade_volume,Daily trading volume per security,50000||75000||100000||25000||80000,Confidential Information
client_ethnicity,Demographic information of client,ASIAN||CAUCASIAN||HISPANIC||AFRICAN_AMERICAN||PACIFIC_ISLANDER,Sensitive PII
bloomberg_terminal_id,Licensed Bloomberg terminal identifier,BBG001||BBG002||BBG003||BBG004||BBG005,Licensed Data
trading_desk_location,Precise location of trading operations,40.7128_-74.0060||51.5074_-0.1278||35.6762_139.6503||22.3193_114.1694||1.3521_103.8198,Sensitive PII
account_balance,Current balance in trading account,1000000||2500000||5000000||7500000||10000000,Confidential Information
trader_name,Name of authorized trader,John Smith||Sarah Johnson||Michael Chen||David Brown||Emma Wilson,Non-Sensitive PII
trade_strategy_performance,Historical performance metrics of trading strategies,ROI_15.5||ROI_12.3||ROI_18.7||ROI_9.8||ROI_22.4,Confidential Information
client_biometric_data,Biometric authentication data,FINGER_HASH_001||RETINA_SCAN_002||VOICE_PRINT_003||FACE_MAP_004||PALM_SCAN_005,Sensitive PII
reuters_api_key,Licensed Reuters API access credentials,RTR_KEY_001||RTR_KEY_002||RTR_KEY_003||RTR_KEY_004||RTR_KEY_005,Licensed Data
trade_book_value,Book value of current positions,5000000||7500000||10000000||12500000||15000000,Confidential Information
trader_email,Corporate email address of trader,trader1@firm.com||trader2@firm.com||trader3@firm.com||trader4@firm.com||trader5@firm.com,Non-Sensitive PII
client_health_data,Health information for insurance products,HEALTH_STATUS_A||HEALTH_STATUS_B||HEALTH_STATUS_C||HEALTH_STATUS_D||HEALTH_STATUS_E,Sensitive PII
market_sentiment_data,Licensed market sentiment indicators,BULL_95||BEAR_85||NEUTRAL_50||BULL_75||BEAR_65,Licensed Data
position_limits,Internal trading position limits,MAX_1M||MAX_2M||MAX_5M||MAX_10M||MAX_20M,Confidential Information
trader_phone,Contact number for trader,555-0101||555-0102||555-0103||555-0104||555-0105,Non-Sensitive PII
trading_algorithm_code,Proprietary trading algorithm source code,ALGO_V1.py||ALGO_V2.py||ALGO_V3.py||ALGO_V4.py||ALGO_V5.py,Confidential Information
employee_name,Basic name of employee,John Wilson||Maria Garcia||Robert Chen||Sarah Miller||James Brown,Non-Sensitive PII
union_membership_status,Employee's trade union affiliation status,UAW_MEMBER||SEIU_ACTIVE||AFL_CIO_REP||TWU_LEADER||NALC_MEMBER,Sensitive PII
corporate_email,Work email address of employee,j.wilson@company.com||m.garcia@company.com||r.chen@company.com||s.miller@company.com||j.brown@company.com,Non-Sensitive PII
workday_license_key,Licensed Workday HRIS system access key,WD_234567||WD_345678||WD_456789||WD_567890||WD_678901,Licensed Data
salary_information,Confidential compensation details,85000USD||95000USD||105000USD||125000USD||145000USD,Confidential Information
medical_leave_status,Health-related leave information,SURGERY_RECOVERY||MENTAL_HEALTH||CHRONIC_CONDITION||MATERNITY||PHYSICAL_THERAPY,Sensitive PII
successfactor_api_key,Licensed SAP SuccessFactors API credentials,SF_API_001||SF_API_002||SF_API_003||SF_API_004||SF_API_005,Licensed Data
performance_ratings,Confidential employee performance data,EXCEEDS||MEETS_PLUS||MEETS||NEEDS_IMPROVEMENT||UNSATISFACTORY,Confidential Information
employee_id,Company identification number,EMP001||EMP002||EMP003||EMP004||EMP005,Non-Sensitive PII
social_security_number,Government identification number,123-45-6789||234-56-7890||345-67-8901||456-78-9012||567-89-0123,Sensitive PII
